time in seconds: | Rain mm/sec: 
300         | 0.00025314666666666663
300         | 0.0006098533333333333
300         | 0.0003567066666666667
300         | 0.0005638266666666667
300         | 0.00110464
300         | 0.0005983466666666667
300         | 0.0020712
300         | 0.0014268266666666667
300         | 0.0006443733333333333
300         | 0.0003567066666666667
300         | 0.00037972
300         | 0.00048328
300         | 0.0004947866666666666
300         | 0.00024164
300         | 0.00025314666666666663
300         | 0.0003912266666666667
300         | 0.00021862666666666664
300         | 0.00013808
300         | 0.00011506666666666667
300         | 0.0002646533333333333
300         | 0.00010355999999999999
300         | 0.00014958666666666667
300         | 0.00012657333333333332
300         | 0.00016109333333333333
